#TimeIteration Time SubCycles NewtonSteps Drag CrossFlowLift Lift
0 0.000000e+00 0 0   4.830304e+00  1.311888e-01  4.931866e+01
1 5.000000e-04 1 2   4.841474e+00  1.304623e-01  4.969686e+01
2 1.500000e-03 1 1   4.724560e+00  1.304870e-01  4.594832e+01
3 2.500000e-03 1 2   4.757753e+00  1.285008e-01  4.508365e+01
4 3.500000e-03 1 2   4.813802e+00  1.285687e-01  4.524769e+01
5 4.500000e-03 1 3   4.866568e+00  1.296883e-01  4.538703e+01
6 5.500000e-03 1 2   4.887085e+00  1.308167e-01  4.477803e+01
7 6.500000e-03 1 1   4.897945e+00  1.305308e-01  4.396394e+01
8 7.500000e-03 1 2   4.918379e+00  1.284777e-01  4.337939e+01
9 8.500000e-03 1 2   4.952987e+00  1.252918e-01  4.310944e+01
10 9.500000e-03 1 1   4.993657e+00  1.226345e-01  4.298863e+01
11 1.050000e-02 1 1   5.029270e+00  1.218764e-01  4.280345e+01
12 1.150000e-02 1 2   5.054492e+00  1.231910e-01  4.244604e+01
13 1.250000e-02 1 1   5.072460e+00  1.253422e-01  4.196370e+01
14 1.350000e-02 1 1   5.089986e+00  1.266562e-01  4.148966e+01
15 1.450000e-02 1 2   5.111926e+00  1.259470e-01  4.112038e+01
16 1.550000e-02 1 2   5.137997e+00  1.231655e-01  4.085206e+01
17 1.650000e-02 1 2   5.164064e+00  1.196920e-01  4.060982e+01
18 1.750000e-02 1 2   5.186476e+00  1.173106e-01  4.032353e+01
19 1.850000e-02 1 2   5.204395e+00  1.169665e-01  3.997449e+01
20 1.950000e-02 1 2   5.219356e+00  1.182273e-01  3.958813e+01
21 2.050000e-02 1 2   5.233327e+00  1.197094e-01  3.919802e+01
22 2.150000e-02 1 2   5.247197e+00  1.200658e-01  3.881946e+01
23 2.250000e-02 1 2   5.260606e+00  1.188271e-01  3.844712e+01
24 2.350000e-02 1 2   5.272471e+00  1.166201e-01  3.806365e+01
25 2.450000e-02 1 2   5.281556e+00  1.145824e-01  3.764811e+01
26 2.550000e-02 1 2   5.286871e+00  1.135429e-01  3.718190e+01
27 2.650000e-02 1 1   5.288269e+00  1.134355e-01  3.665692e+01
28 2.750000e-02 1 1   5.286231e+00  1.137487e-01  3.608088e+01
29 2.850000e-02 1 2   5.282193e+00  1.137919e-01  3.547705e+01
